checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,installment_commitment,residence_since,age,existing_credits,duration,credit_amount,num_dependents,class
0<=X<200,critical/other existing credit,business,500<=X<1000,1<=X<4,male single,none,car,bank,own,skilled,none,yes,2,4,27,1,15,2326,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,life insurance,none,rent,unskilled resident,yes,yes,3,4,20,1,24,2718,1,bad
<0,delayed previously,radio/tv,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,yes,yes,3,2,26,2,42,4370,2,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,none,yes,4,2,28,1,12,776,1,good
0<=X<200,existing paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,2,2,23,1,48,15672,1,bad
no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,stores,own,skilled,yes,yes,4,3,38,1,24,1533,1,good
no checking,existing paid,business,>=1000,>=7,female div/dep/mar,none,real estate,bank,own,unskilled resident,none,yes,4,4,36,1,21,1572,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,bank,own,skilled,none,yes,4,1,23,1,12,1498,1,good
no checking,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,no,3,4,32,2,10,1231,2,good
<0,critical/other existing credit,business,<100,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes,3,1,28,2,13,1797,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,3,1,29,1,6,518,1,good
0<=X<200,delayed previously,used car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,1,2,30,2,27,5965,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,2,2,26,2,12,1934,1,good
<0,all paid,furniture/equipment,<100,1<=X<4,male single,none,car,bank,own,skilled,none,yes,4,3,44,1,18,1553,1,bad
no checking,critical/other existing credit,repairs,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,3,4,44,2,24,5507,1,good
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,3,4,53,2,48,7119,2,bad
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,4,1,47,1,48,3578,1,good
<0,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,2,3,44,1,6,2647,2,good
0<=X<200,all paid,used car,<100,>=7,female div/dep/mar,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,2,4,74,1,9,5129,2,bad
no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,car,stores,own,skilled,none,yes,4,1,25,1,24,5511,1,good
<0,existing paid,used car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,3,4,35,1,12,3386,1,bad
0<=X<200,no credits/all paid,other,<100,1<=X<4,female div/dep/mar,none,life insurance,bank,own,high qualif/self emp/mgmt,yes,no,1,2,32,1,48,18424,1,bad
0<=X<200,all paid,business,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,none,yes,4,2,30,1,48,3566,1,good
no checking,critical/other existing credit,education,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,2,32,2,12,701,1,good
0<=X<200,existing paid,new car,>=1000,1<=X<4,male mar/wid,none,real estate,none,own,skilled,none,yes,4,1,22,1,12,1007,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,4,2,29,2,28,2743,1,good
>=200,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,56,1,42,4796,1,good
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,3,2,24,1,48,6560,1,bad
<0,existing paid,other,<100,>=7,female div/dep/mar,guarantor,real estate,none,own,unskilled resident,yes,yes,4,4,58,1,24,1755,1,good
0<=X<200,existing paid,used car,no known savings,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,2,30,1,12,2028,1,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,4,2,43,1,15,1459,1,good
no checking,all paid,new car,<100,>=7,male single,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,2,4,39,2,18,6458,2,bad
<0,critical/other existing credit,new car,>=1000,4<=X<7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,3,4,39,2,6,666,1,good
<0,existing paid,repairs,<100,<1,male div/sep,none,no known property,none,own,unskilled resident,yes,yes,1,1,34,1,30,11998,1,bad
<0,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,4,2,24,1,12,1228,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,4,4,65,2,18,2600,1,bad
no checking,critical/other existing credit,used car,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,3,4,43,2,24,4042,1,good
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,yes,yes,1,2,32,1,6,2978,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,no,3,2,39,2,12,2122,2,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male mar/wid,guarantor,car,none,own,skilled,yes,yes,4,2,33,2,24,1851,1,good
<0,existing paid,radio/tv,<100,<1,male single,none,car,none,own,skilled,none,yes,4,3,34,1,42,3965,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,2,35,2,18,3780,1,good
no checking,critical/other existing credit,new car,no known savings,<1,male div/sep,none,real estate,none,own,skilled,yes,yes,2,4,44,2,20,3485,1,good
no checking,existing paid,business,<100,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,3,2,27,2,9,1449,1,good
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,skilled,yes,yes,4,3,26,1,24,1311,1,good
no checking,critical/other existing credit,furniture/equipment,>=1000,<1,male single,none,real estate,stores,own,unskilled resident,yes,yes,4,2,32,2,27,4526,2,good
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,4,2,33,1,18,1245,1,bad
>=200,existing paid,education,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,4,4,23,1,15,392,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,1,1,23,1,12,3573,1,good
0<=X<200,existing paid,new car,<100,unemployed,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,2,4,70,1,10,7308,1,good
0<=X<200,existing paid,business,<100,1<=X<4,male mar/wid,none,real estate,bank,own,skilled,yes,yes,2,1,27,1,9,1391,1,good
no checking,existing paid,radio/tv,no known savings,4<=X<7,male single,none,car,stores,own,skilled,yes,yes,4,3,37,1,48,10222,1,good
no checking,existing paid,education,<100,>=7,male single,none,life insurance,bank,own,skilled,yes,yes,4,4,47,3,12,1393,2,good
0<=X<200,existing paid,radio/tv,no known savings,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,4,1,26,1,30,1715,1,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,4,2,51,1,36,3342,1,good
0<=X<200,existing paid,used car,500<=X<1000,<1,female div/dep/mar,none,car,none,rent,skilled,none,yes,3,4,28,1,24,4113,1,bad
<0,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,4,4,67,2,6,1169,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,female div/dep/mar,none,car,bank,rent,skilled,none,yes,4,4,27,4,12,951,1,bad
0<=X<200,critical/other existing credit,business,<100,4<=X<7,female div/dep/mar,none,real estate,bank,own,unskilled resident,none,yes,2,1,41,2,42,5954,1,good
no checking,critical/other existing credit,business,<100,unemployed,male single,none,car,stores,own,high qualif/self emp/mgmt,yes,yes,4,2,42,2,12,2292,1,bad
no checking,critical/other existing credit,used car,no known savings,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,2,4,38,1,18,3229,1,good
no checking,critical/other existing credit,new car,no known savings,>=7,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,4,59,1,15,5045,1,good
no checking,existing paid,used car,<100,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,3,38,1,24,7814,1,good
no checking,delayed previously,radio/tv,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,4,21,2,60,15653,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,4,4,56,1,12,618,1,good
0<=X<200,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,4,20,1,24,1967,1,good
no checking,existing paid,new car,<100,1<=X<4,male mar/wid,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,2,2,30,1,18,1820,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,1,2,40,2,11,3939,2,good
0<=X<200,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,guarantor,real estate,bank,own,skilled,yes,yes,4,2,35,3,15,2728,1,good
0<=X<200,existing paid,radio/tv,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,1,41,2,48,3979,2,good
<0,existing paid,furniture/equipment,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,53,1,12,7865,1,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,female div/dep/mar,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,4,4,26,1,30,4530,1,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,male mar/wid,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,1,32,2,18,1880,1,good
<0,delayed previously,education,no known savings,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,yes,yes,1,2,23,2,18,8471,1,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male mar/wid,guarantor,real estate,bank,own,unskilled resident,none,yes,3,3,28,1,6,484,1,good
>=200,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,3,1,24,1,12,3016,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,none,yes,2,2,31,2,18,2775,1,bad
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,none,yes,4,2,28,2,30,4249,1,bad
<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,3,4,38,3,30,10623,2,good
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,4,4,36,1,36,3079,1,good
<0,critical/other existing credit,repairs,<100,unemployed,female div/dep/mar,none,no known property,none,for free,unemp/unskilled non res,none,yes,2,4,55,3,18,1190,2,bad
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,car,none,rent,unskilled resident,none,yes,1,4,26,1,21,3599,1,good
0<=X<200,delayed previously,business,100<=X<500,>=7,male single,none,life insurance,stores,own,skilled,none,yes,4,2,41,2,30,2503,1,good
no checking,delayed previously,new car,<100,>=7,male single,none,car,none,own,unskilled resident,none,yes,4,4,47,2,24,2538,2,bad
no checking,existing paid,new car,<100,<1,male mar/wid,none,real estate,none,own,skilled,none,yes,4,2,28,1,24,1249,1,good
0<=X<200,existing paid,furniture/equipment,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,1,24,1,9,2030,1,good
no checking,existing paid,domestic appliance,500<=X<1000,1<=X<4,male div/sep,none,real estate,none,own,skilled,none,yes,1,4,62,1,6,1338,1,good
no checking,critical/other existing credit,new car,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,4,4,52,2,6,362,1,good
no checking,existing paid,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,4,4,58,1,30,1867,1,good
0<=X<200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,real estate,none,rent,high qualif/self emp/mgmt,none,yes,3,1,34,1,12,3017,1,good
no checking,critical/other existing credit,new car,<100,unemployed,female div/dep/mar,none,life insurance,none,own,unemp/unskilled non res,none,yes,1,2,38,1,12,926,1,good
<0,existing paid,used car,<100,unemployed,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,2,29,1,24,6579,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,unemployed,male single,none,life insurance,stores,own,high qualif/self emp/mgmt,yes,yes,4,4,40,2,18,7374,1,good
<0,existing paid,furniture/equipment,<100,<1,male single,none,no known property,bank,for free,skilled,none,yes,4,1,22,1,24,3149,1,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,car,none,own,skilled,yes,yes,4,4,44,2,15,1478,2,good
no checking,existing paid,new car,>=1000,4<=X<7,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,3,34,1,24,1525,2,good
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,skilled,none,yes,4,2,28,1,12,2073,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes,3,2,34,1,7,2415,1,good
no checking,critical/other existing credit,used car,>=1000,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,4,2,27,2,24,5804,1,good
no checking,critical/other existing credit,used car,>=1000,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,38,2,36,5711,1,good
no checking,delayed previously,radio/tv,<100,unemployed,male mar/wid,none,real estate,none,own,skilled,none,yes,2,3,34,2,18,2320,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,1,2,32,1,9,2697,2,good
0<=X<200,no credits/all paid,business,<100,<1,male single,none,no known property,none,rent,skilled,yes,yes,3,4,58,1,54,15945,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,3,2,27,1,27,3416,1,good
no checking,critical/other existing credit,education,<100,>=7,female div/dep/mar,none,no known property,bank,for free,unskilled resident,none,yes,2,4,57,3,12,2748,1,good
<0,existing paid,new car,<100,<1,male single,none,real estate,none,own,unskilled resident,none,yes,4,1,33,1,12,2579,2,bad
no checking,existing paid,radio/tv,no known savings,<1,male single,none,car,none,own,skilled,none,yes,4,2,25,2,24,3105,1,good
no checking,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,2,4,64,1,10,1364,1,good
0<=X<200,existing paid,repairs,<100,<1,male single,none,no known property,none,rent,unskilled resident,none,yes,4,1,33,1,36,2384,1,bad
<0,existing paid,new car,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,4,3,27,1,12,1168,1,good
no checking,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,4,4,61,2,12,1255,1,good
no checking,delayed previously,new car,<100,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,4,2,27,2,14,802,1,good
<0,existing paid,domestic appliance,no known savings,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes,4,2,24,1,15,1275,1,bad
no checking,critical/other existing credit,radio/tv,100<=X<500,unemployed,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,4,4,57,3,11,1154,1,good
<0,all paid,new car,100<=X<500,4<=X<7,male single,none,car,bank,own,skilled,none,yes,2,3,32,1,24,2325,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male mar/wid,co applicant,real estate,none,own,skilled,none,yes,4,3,46,2,24,2611,1,good
0<=X<200,delayed previously,repairs,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,2,4,44,1,18,6204,2,good
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,4,3,40,2,24,1585,1,good
0<=X<200,critical/other existing credit,used car,100<=X<500,unemployed,male single,none,car,none,own,skilled,none,yes,3,4,27,1,45,4576,1,good
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,4,4,23,1,30,2406,1,bad
<0,existing paid,new car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,1,27,1,24,3123,1,bad
<0,existing paid,radio/tv,<100,>=7,male single,none,real estate,stores,own,unskilled resident,none,yes,4,4,57,1,12,709,1,bad
no checking,existing paid,used car,100<=X<500,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,3,4,23,1,24,3488,1,good
<0,existing paid,new car,<100,>=7,male div/sep,none,life insurance,none,own,high qualif/self emp/mgmt,yes,no,1,4,45,1,14,8978,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,4,2,31,2,15,1360,1,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male div/sep,none,car,none,own,skilled,yes,yes,3,3,43,1,24,4057,1,bad
no checking,existing paid,new car,no known savings,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,52,1,12,2133,1,good
0<=X<200,critical/other existing credit,domestic appliance,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,4,3,26,1,12,1424,1,good
<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,4,4,46,2,48,6331,1,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,real estate,none,rent,unskilled resident,none,yes,2,2,24,1,24,3021,1,good
<0,existing paid,used car,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,2,4,42,1,36,5493,2,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,male mar/wid,none,real estate,none,rent,skilled,yes,yes,4,2,40,1,15,1386,1,good
no checking,existing paid,furniture/equipment,<100,unemployed,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,26,2,36,10974,1,bad
0<=X<200,existing paid,used car,<100,1<=X<4,female div/dep/mar,none,car,none,rent,high qualif/self emp/mgmt,none,yes,1,4,23,2,24,11560,1,bad
no checking,critical/other existing credit,education,100<=X<500,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,2,30,2,18,1864,1,bad
0<=X<200,critical/other existing credit,new car,<100,<1,male single,none,real estate,bank,own,unskilled resident,none,yes,1,3,49,2,12,3124,2,good
<0,delayed previously,new car,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,3,4,53,2,24,4870,2,bad
<0,all paid,new car,<100,<1,male single,none,car,bank,own,skilled,yes,yes,4,2,46,2,12,697,1,bad
no checking,existing paid,business,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,no,2,2,26,1,12,1076,1,good
>=200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,1,2,46,1,12,2251,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,3,4,31,1,12,1736,1,good
no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,none,life insurance,bank,own,skilled,none,yes,4,4,52,2,24,2223,1,good
>=200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,rent,unskilled resident,yes,yes,2,2,44,1,12,1881,1,good
no checking,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes,2,3,27,2,15,2708,1,good
no checking,delayed previously,new car,<100,>=7,male single,none,car,none,own,skilled,yes,yes,2,2,45,2,36,10875,2,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes,2,4,20,1,12,1282,1,bad
<0,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,no known property,stores,for free,unskilled resident,none,yes,4,4,58,2,48,6143,1,bad
0<=X<200,all paid,other,100<=X<500,>=7,female div/dep/mar,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,3,4,60,2,60,14782,1,bad
<0,existing paid,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,2,4,20,1,24,2996,1,bad
>=200,delayed previously,new car,<100,1<=X<4,female div/dep/mar,none,car,stores,own,skilled,yes,yes,2,2,36,2,12,2247,1,good
0<=X<200,existing paid,education,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,4,4,42,1,60,6288,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,male div/sep,none,car,none,rent,skilled,none,yes,4,4,31,1,36,2302,1,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,2,32,1,18,1505,1,good
no checking,existing paid,business,<100,4<=X<7,male single,none,car,stores,own,skilled,yes,yes,4,1,34,2,18,1950,1,good
no checking,delayed previously,business,<100,<1,male div/sep,none,car,none,own,skilled,none,yes,1,1,28,2,36,9572,1,bad
no checking,existing paid,new car,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,4,3,50,1,12,2390,1,good
<0,no credits/all paid,repairs,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,4,3,28,2,12,1108,1,bad
no checking,existing paid,retraining,no known savings,unemployed,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,4,36,1,6,1238,2,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,4,3,24,1,9,458,1,good
no checking,all paid,business,<100,4<=X<7,male single,none,car,bank,own,skilled,yes,yes,4,4,50,1,24,1559,1,good
<0,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,4,3,28,1,9,654,1,bad
<0,existing paid,furniture/equipment,<100,4<=X<7,male single,guarantor,life insurance,none,for free,skilled,none,yes,2,4,45,1,42,7882,2,good
>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,2,23,1,10,1275,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,car,bank,own,unskilled resident,none,yes,2,4,25,1,24,4736,1,bad
<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,4,4,66,2,12,1526,1,good
<0,existing paid,education,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,4,23,1,6,448,1,bad
>=200,critical/other existing credit,radio/tv,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,4,47,1,30,3017,1,good
no checking,existing paid,used car,100<=X<500,1<=X<4,male single,co applicant,real estate,none,own,skilled,none,yes,1,2,32,1,10,2848,2,good
no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,4,3,29,2,18,1169,1,good
>=200,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,co applicant,no known property,none,rent,skilled,none,yes,4,4,20,2,24,3617,1,good
<0,delayed previously,furniture/equipment,<100,>=7,female div/dep/mar,none,life insurance,none,own,unskilled resident,none,yes,1,4,27,2,15,3643,1,good
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male single,none,no known property,bank,for free,skilled,none,yes,2,2,44,1,48,10127,1,bad
0<=X<200,existing paid,radio/tv,<100,<1,female div/dep/mar,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,4,1,30,1,36,4795,1,good
<0,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,1,2,23,1,18,976,1,bad
<0,delayed previously,business,<100,>=7,male single,none,no known property,none,own,skilled,yes,yes,3,4,63,2,60,6836,1,bad
<0,existing paid,new car,>=1000,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,1,3,31,1,12,3651,2,good
<0,existing paid,used car,<100,4<=X<7,male single,none,no known property,stores,for free,skilled,yes,yes,4,4,39,3,48,10297,2,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,28,1,36,3349,1,bad
0<=X<200,critical/other existing credit,education,>=1000,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,3,32,2,9,1136,2,bad
<0,existing paid,used car,<100,1<=X<4,male single,guarantor,no known property,bank,own,skilled,yes,yes,3,4,63,1,24,2924,2,good
<0,critical/other existing credit,new car,<100,>=7,female div/dep/mar,none,real estate,bank,rent,skilled,yes,yes,1,4,33,3,18,3966,1,bad
<0,critical/other existing credit,new car,<100,>=7,male single,guarantor,life insurance,bank,rent,skilled,yes,yes,2,4,43,1,16,2625,1,bad
0<=X<200,existing paid,furniture/equipment,no known savings,>=7,female div/dep/mar,none,life insurance,bank,own,skilled,yes,yes,1,2,25,1,12,2762,1,bad
0<=X<200,no credits/all paid,business,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,61,1,36,1953,1,bad
no checking,existing paid,business,<100,4<=X<7,male single,none,real estate,none,own,skilled,yes,yes,4,1,25,1,24,1258,1,good
no checking,existing paid,domestic appliance,500<=X<1000,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,4,3,36,2,15,1262,1,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,life insurance,stores,own,skilled,yes,yes,4,3,47,1,15,1213,1,good
<0,existing paid,used car,no known savings,>=7,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,2,4,26,1,24,2812,1,good
<0,existing paid,furniture/equipment,<100,unemployed,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,3,30,1,36,3959,1,good
0<=X<200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,3,36,1,12,2366,1,good
<0,existing paid,business,<100,>=7,male single,co applicant,no known property,none,rent,skilled,none,yes,4,4,36,1,60,7297,1,bad
<0,existing paid,business,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,unskilled resident,none,yes,4,4,22,1,15,806,1,good
<0,all paid,radio/tv,<100,<1,male single,co applicant,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,3,4,36,1,18,1940,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,2,2,36,2,11,3905,2,good
<0,no credits/all paid,furniture/equipment,<100,>=7,male single,none,no known property,bank,rent,skilled,none,yes,3,4,23,2,24,4110,2,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,4,23,1,45,1845,1,bad
no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,none,yes,3,1,26,1,18,1453,1,good
no checking,existing paid,radio/tv,<100,<1,male single,none,car,none,own,skilled,yes,yes,3,2,32,1,18,4594,1,good
0<=X<200,existing paid,business,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,4,34,1,18,2622,1,good
<0,existing paid,new car,<100,>=7,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,none,yes,4,4,42,1,48,7763,1,bad
